AidData Project ID,Title,Organization,Organization ISO,Organization Role,Organization,Organization ISO,Organization Role,Organization,Organization ISO,Organization Role,Other Organizations,Source,Short Description,Long Description,Donor Project ID,Donor Secondary Project ID
906000992780,Dikula ,United States,,Funding,,,,,,,,Geocoding 2013,,xqLX2af0Zy2,xqLX2af0Zy2,
906000992782,Disanga 3 ,United States,,Funding,,,,,,,,Geocoding 2013,,Irk0ptCenwf,Irk0ptCenwf,
906000992784,Kabungu ,United States,,Funding,,,,,,,,Geocoding 2013,,PuCBc2LaiiL,PuCBc2LaiiL,
906000992786,Chibambo ,United States,,Funding,,,,,,,,Geocoding 2013,,Qd0LDMrLOK1,Qd0LDMrLOK1,
906000992788,Kaboka ,United States,,Funding,,,,,,,,Geocoding 2013,,y48e8fHScH9,y48e8fHScH9,
906000992790,Kaboka HGR,United States,,Funding,,,,,,,,Geocoding 2013,,OHRCCDQUOZo,OHRCCDQUOZo,
906000992792,Kikungu ,United States,,Funding,,,,,,,,Geocoding 2013,,WEBhAOXHXwE,WEBhAOXHXwE,
906000992794,Kisamamba ,United States,,Funding,,,,,,,,Geocoding 2013,,eUVW5rllryb,eUVW5rllryb,
906000992796,Mission ,United States,,Funding,,,,,,,,Geocoding 2013,,R1jBV1wkWmC,R1jBV1wkWmC,
906000992798,St Jean (Kisameno) ,United States,,Funding,,,,,,,,Geocoding 2013,,wbTJi2O5VH6,wbTJi2O5VH6,
906000992800,Carmel CM,United States,,Funding,,,,,,,,Geocoding 2013,,yIXpWHWpuF5,yIXpWHWpuF5,
906000992802,Kibali,United States,,Funding,,,,,,,,Geocoding 2013,,ybOz2yR7aSl,ybOz2yR7aSl,
906000992804,Petwe ,United States,,Funding,,,,,,,,Geocoding 2013,,qtqak040zEp,qtqak040zEp,
906000992806,Zaina CM,United States,,Funding,,,,,,,,Geocoding 2013,,PqomxKe0sXq,PqomxKe0sXq,
906000992808,Centre De Sante 41,United States,,Funding,,,,,,,,Geocoding 2013,,S6Jwqgm4mgA,S6Jwqgm4mgA,
906000992810,Kafubu ,United States,,Funding,,,,,,,,Geocoding 2013,,fJeUpi5Vxbu,fJeUpi5Vxbu,
906000992812,Sambwa,United States,,Funding,,,,,,,,Geocoding 2013,,Qk3asWARy05,Qk3asWARy05,
906000992814,Betty HGR,United States,,Funding,,,,,,,,Geocoding 2013,,GlpGQM0o10h,GlpGQM0o10h,
906000992816,Bety,United States,,Funding,,,,,,,,Geocoding 2013,,hF7JJSIOegr,hF7JJSIOegr,
906000992818,Gecamines Kipushi,United States,,Funding,,,,,,,,Geocoding 2013,,YvSjNnfcg8s,YvSjNnfcg8s,
906000992820,Kawama - Kipushi ,United States,,Funding,,,,,,,,Geocoding 2013,,ms9F6pXWIAv,ms9F6pXWIAv,
906000992822,Lumata ,United States,,Funding,,,,,,,,Geocoding 2013,,vVkrAFZD4P3,vVkrAFZD4P3,
906000992824,St Charles ,United States,,Funding,,,,,,,,Geocoding 2013,,jnRtGp1FZBG,jnRtGp1FZBG,
906000992826,Tumbwe ,United States,,Funding,,,,,,,,Geocoding 2013,,fwdhh7Zrz1C,fwdhh7Zrz1C,
906000992828,Amani-Likasi ,United States,,Funding,,,,,,,,Geocoding 2013,,eg8eKslpLF5,eg8eKslpLF5,
906000992830,Asvie CM,United States,,Funding,,,,,,,,Geocoding 2013,,wziynJudfXm,wziynJudfXm,
906000992832,Kupuluka ,United States,,Funding,,,,,,,,Geocoding 2013,,VqnwROtoaHz,VqnwROtoaHz,
906000992834,La Grace - Likasi CM,United States,,Funding,,,,,,,,Geocoding 2013,,uugDKLfnDV6,uugDKLfnDV6,
906000992836,Ovika ,United States,,Funding,,,,,,,,Geocoding 2013,,o0Ipvtx6zRo,o0Ipvtx6zRo,
906000992838,Panda GCM,United States,,Funding,,,,,,,,Geocoding 2013,,u4yhuecExBb,u4yhuecExBb,
906000992840,SNCC Likasi HGR,United States,,Funding,,,,,,,,Geocoding 2013,,vF3ergOK9nT,vF3ergOK9nT,
906000992842,Shekinah CM,United States,,Funding,,,,,,,,Geocoding 2013,,C6iIOHyd8LM,C6iIOHyd8LM,
906000992844,Simba ,United States,,Funding,,,,,,,,Geocoding 2013,,W4NU5QzpmGP,W4NU5QzpmGP,
906000992846,Theresia ,United States,,Funding,,,,,,,,Geocoding 2013,,INHduMB4ZEh,INHduMB4ZEh,
906000992848,Polyclinique Socidex ,United States,,Funding,,,,,,,,Geocoding 2013,,Ig4M9J7MBO2,Ig4M9J7MBO2,
906000992850,St Luc - Panda ,United States,,Funding,,,,,,,,Geocoding 2013,,i1DNIPwBwUw,i1DNIPwBwUw,
906000992852,Kashobwe HGR,United States,,Funding,,,,,,,,Geocoding 2013,,joshm6qWObZ,joshm6qWObZ,
906000992854,Lupembe ,United States,,Funding,,,,,,,,Geocoding 2013,,DM4U9bfhcWL,DM4U9bfhcWL,
906000992856,Dubie,United States,,Funding,,,,,,,,Geocoding 2013,,yWGuoODzMsP,yWGuoODzMsP,
906000992858,Kasolo ,United States,,Funding,,,,,,,,Geocoding 2013,,q8pSw87xS51,q8pSw87xS51,
906000992860,Kilwa HGR,United States,,Funding,,,,,,,,Geocoding 2013,,jrnlhWJasPC,jrnlhWJasPC,
906000992862,Kyaka ,United States,,Funding,,,,,,,,Geocoding 2013,,xkoVdK9KgMM,xkoVdK9KgMM,
906000992864,Lukonzolwa ,United States,,Funding,,,,,,,,Geocoding 2013,,ibND46UGkNQ,ibND46UGkNQ,
906000992866,Lusalala ,United States,,Funding,,,,,,,,Geocoding 2013,,DQPm5R4BLpG,DQPm5R4BLpG,
906000992868,Lwanza ,United States,,Funding,,,,,,,,Geocoding 2013,,A07ptgzKrNa,A07ptgzKrNa,
906000992870,Mubanga ,United States,,Funding,,,,,,,,Geocoding 2013,,uBE44XPZ9Ve,uBE44XPZ9Ve,
906000992872,Mukupa ,United States,,Funding,,,,,,,,Geocoding 2013,,JfHMj6RTIum,JfHMj6RTIum,
906000992874,Mulinde ,United States,,Funding,,,,,,,,Geocoding 2013,,Zdoz7Zedu1z,Zdoz7Zedu1z,
906000992876,Boma - Pweto ,United States,,Funding,,,,,,,,Geocoding 2013,,EcuiL8m1rpw,EcuiL8m1rpw,
906000992878,Chalanshi,United States,,Funding,,,,,,,,Geocoding 2013,,q8NVzt8HC9v,q8NVzt8HC9v,
906000992880,Chanfubu HGR,United States,,Funding,,,,,,,,Geocoding 2013,,AF22Ma9FugO,AF22Ma9FugO,
906000992882,Kamakanga,United States,,Funding,,,,,,,,Geocoding 2013,,oekYeOxRGyo,oekYeOxRGyo,
906000992884,Kapondo ,United States,,Funding,,,,,,,,Geocoding 2013,,jw5lKed4NIZ,jw5lKed4NIZ,
906000992886,Kapulo ,United States,,Funding,,,,,,,,Geocoding 2013,,UE2YQdbjAjF,UE2YQdbjAjF,
906000992888,Katabe ,United States,,Funding,,,,,,,,Geocoding 2013,,gEwxa0yCx4Z,gEwxa0yCx4Z,
906000992890,Nzwiba ,United States,,Funding,,,,,,,,Geocoding 2013,,MQ3iLYpWmAl,MQ3iLYpWmAl,
906000992892,Sante ,United States,,Funding,,,,,,,,Geocoding 2013,,AC4R3JMxaRo,AC4R3JMxaRo,
906000992894,TBD1 - Pweto,United States,,Funding,,,,,,,,Geocoding 2013,,r9K0BOHOlbS,r9K0BOHOlbS,
906000992896,TBD2 - Pweto,United States,,Funding,,,,,,,,Geocoding 2013,,BkBipl7j7rb,BkBipl7j7rb,
906000992898,TBD3 - Pweto,United States,,Funding,,,,,,,,Geocoding 2013,,MbCEAPjpBbP,MbCEAPjpBbP,
906000992900,TBD4 - Pweto,United States,,Funding,,,,,,,,Geocoding 2013,,masaDFCs7Gr,masaDFCs7Gr,
906000992902,TBD5 - Pweto,United States,,Funding,,,,,,,,Geocoding 2013,,XmmFqv02tdX,XmmFqv02tdX,
906000992904,Amani-Sakania,United States,,Funding,,,,,,,,Geocoding 2013,,rREJN6BjvFS,rREJN6BjvFS,
906000992906,Buafano,United States,,Funding,,,,,,,,Geocoding 2013,,ezyucKXADTN,ezyucKXADTN,
906000992908,Buafano ,United States,,Funding,,,,,,,,Geocoding 2013,,C5GbAKyDzYo,C5GbAKyDzYo,
906000992910,Fma Marie Auxilliatrice ,United States,,Funding,,,,,,,,Geocoding 2013,,NYhN4LFvPdJ,NYhN4LFvPdJ,
906000992912,Kasumbalesa,United States,,Funding,,,,,,,,Geocoding 2013,,Mp7EEVk3wFm,Mp7EEVk3wFm,
906000992914,Kasumbalesa ,United States,,Funding,,,,,,,,Geocoding 2013,,WJxibBq9t2e,WJxibBq9t2e,
906000992916,Katale,United States,,Funding,,,,,,,,Geocoding 2013,,YmeIVi7hTx0,YmeIVi7hTx0,
906000992918,Kitotwe,United States,,Funding,,,,,,,,Geocoding 2013,,cbgYvwZNKeD,cbgYvwZNKeD,
906000992920,Mokambo,United States,,Funding,,,,,,,,Geocoding 2013,,y2IS6nBwQI7,y2IS6nBwQI7,
906000992922,Mokambo ,United States,,Funding,,,,,,,,Geocoding 2013,,w9vmbayWMuQ,w9vmbayWMuQ,
906000992924,Muhona,United States,,Funding,,,,,,,,Geocoding 2013,,gCEF5dwoaRV,gCEF5dwoaRV,
906000992926,Neema - Sakania,United States,,Funding,,,,,,,,Geocoding 2013,,GcZUvUEmYP7,GcZUvUEmYP7,
906000992928,Rosalie,United States,,Funding,,,,,,,,Geocoding 2013,,ZROej1FvpHG,ZROej1FvpHG,
906000992930,Sakania HGR,United States,,Funding,,,,,,,,Geocoding 2013,,KbYJOeheYX2,KbYJOeheYX2,
906000992932,TBD1 - Sakania,United States,,Funding,,,,,,,,Geocoding 2013,,RfpyaQrBhHP,RfpyaQrBhHP,
906000992934,TBD2 - Sakania,United States,,Funding,,,,,,,,Geocoding 2013,,AOP4ppLBOa6,AOP4ppLBOa6,
906000992936,TBD3 - Sakania,United States,,Funding,,,,,,,,Geocoding 2013,,BhYSTD3j48n,BhYSTD3j48n,
906000992938,TBD4 - Sakania,United States,,Funding,,,,,,,,Geocoding 2013,,HxFwE4xyisF,HxFwE4xyisF,
906000992940,Tshisenda,United States,,Funding,,,,,,,,Geocoding 2013,,a5fchcAolf6,a5fchcAolf6,
906000992942,Buafano,United States,,Funding,,,,,,,,Geocoding 2013,,DNuNxFvd2vf,DNuNxFvd2vf,
906000992944,Bihashara,United States,,Funding,,,,,,,,Geocoding 2013,,mgTgT488GXV,mgTgT488GXV,
906000992946,Kanina,United States,,Funding,,,,,,,,Geocoding 2013,,IaDm3fBJ6b5,IaDm3fBJ6b5,
906000992948,TBD1 - Dilala,United States,,Funding,,,,,,,,Geocoding 2013,,NhSNnfhXPZg,NhSNnfhXPZg,
906000992950,TBD2 - Dilala,United States,,Funding,,,,,,,,Geocoding 2013,,TdQYFgpXZwk,TdQYFgpXZwk,
906000992952,TBD3 - Dilala,United States,,Funding,,,,,,,,Geocoding 2013,,n1y2iBzm4ox,n1y2iBzm4ox,
906000992954,Uzima Wetu - Dilala,United States,,Funding,,,,,,,,Geocoding 2013,,xf41AJRQBCT,xf41AJRQBCT,
906000992956,Bunkeya HGR,United States,,Funding,,,,,,,,Geocoding 2013,,pXorY6Hhfx9,pXorY6Hhfx9,
906000992958,Gareganze - Bunkenya ,United States,,Funding,,,,,,,,Geocoding 2013,,QhAsG4QyPlR,QhAsG4QyPlR,
906000992960,Kikobe ,United States,,Funding,,,,,,,,Geocoding 2013,,iSYYe5wWVUm,iSYYe5wWVUm,
906000992962,Munto ,United States,,Funding,,,,,,,,Geocoding 2013,,vN3xEEwdTxJ,vN3xEEwdTxJ,
906000992964,TBD1 - Bunkeya,United States,,Funding,,,,,,,,Geocoding 2013,,ETdHgNjvvYY,ETdHgNjvvYY,
906000992966,TBD2 - Bunkeya,United States,,Funding,,,,,,,,Geocoding 2013,,yB5Qi3XG4tC,yB5Qi3XG4tC,
906000992968,TBD3 - Bunkeya,United States,,Funding,,,,,,,,Geocoding 2013,,Tec4PM6z7GL,Tec4PM6z7GL,
906000992970,TBD4 - Bunkeya,United States,,Funding,,,,,,,,Geocoding 2013,,yX8ulnFUnuQ,yX8ulnFUnuQ,
906000992972,Dilambwe,United States,,Funding,,,,,,,,Geocoding 2013,,dD7zjYifa2r,dD7zjYifa2r,
906000992974,Dipeta 1,United States,,Funding,,,,,,,,Geocoding 2013,,NHB8UlZUgWf,NHB8UlZUgWf,
906000992976,Dipeta 2,United States,,Funding,,,,,,,,Geocoding 2013,,azHZDwa04XW,azHZDwa04XW,
906000992978,Dipeta ,United States,,Funding,,,,,,,,Geocoding 2013,,yfmKBWwZI8Z,yfmKBWwZI8Z,
906000992980,El Shaddai ,United States,,Funding,,,,,,,,Geocoding 2013,,sMD0nKFjTgt,sMD0nKFjTgt,
906000992982,Kakanda HGR,United States,,Funding,,,,,,,,Geocoding 2013,,rlrnyO78Ega,rlrnyO78Ega,
906000992984,Kasolondo,United States,,Funding,,,,,,,,Geocoding 2013,,XDQ2pVVtrnG,XDQ2pVVtrnG,
906000992986,Kilusonsa,United States,,Funding,,,,,,,,Geocoding 2013,,BQI5QUa6ZoW,BQI5QUa6ZoW,
906000992988,Lukotola,United States,,Funding,,,,,,,,Geocoding 2013,,GjdPlhqJsdU,GjdPlhqJsdU,
906000992990,Mpala,United States,,Funding,,,,,,,,Geocoding 2013,,FXwl2fM9nla,FXwl2fM9nla,
906000992992,Mulumbu,United States,,Funding,,,,,,,,Geocoding 2013,,a0Qlf60zWBs,a0Qlf60zWBs,
906000992994,Mwenda Mukose,United States,,Funding,,,,,,,,Geocoding 2013,,fElqAXh75Lj,fElqAXh75Lj,
906000992996,Neema - Fungurume ,United States,,Funding,,,,,,,,Geocoding 2013,,dU1qtC7LHCd,dU1qtC7LHCd,
906000992998,Nguba,United States,,Funding,,,,,,,,Geocoding 2013,,IVMb1W1xvgb,IVMb1W1xvgb,
906000993000,Piscine De Siloe,United States,,Funding,,,,,,,,Geocoding 2013,,FyecjLVvDRq,FyecjLVvDRq,
906000993002,Safina ,United States,,Funding,,,,,,,,Geocoding 2013,,nkecxYOrVdx,nkecxYOrVdx,
906000993004,Shaloom - Fungurume ,United States,,Funding,,,,,,,,Geocoding 2013,,Phh3sjKLv28,Phh3sjKLv28,
906000993006,St Francois Xavier ,United States,,Funding,,,,,,,,Geocoding 2013,,CW7ieVvpnlS,CW7ieVvpnlS,
906000993008,TBD1 - Fungurume ,United States,,Funding,,,,,,,,Geocoding 2013,,RZ7L5q70Ulr,RZ7L5q70Ulr,
906000993010,TBD2 - Fungurume ,United States,,Funding,,,,,,,,Geocoding 2013,,rLXE3glb0EX,rLXE3glb0EX,
906000993012,TBD3 - Fungurume,United States,,Funding,,,,,,,,Geocoding 2013,,P3tRxwEPhrJ,P3tRxwEPhrJ,
906000993014,Tenke,United States,,Funding,,,,,,,,Geocoding 2013,,TfuoeUKy2Qk,TfuoeUKy2Qk,
906000993016,Cimenkat Lubudi HGR,United States,,Funding,,,,,,,,Geocoding 2013,,GfNyZSEQihB,GfNyZSEQihB,
906000993018,Kalonga ,United States,,Funding,,,,,,,,Geocoding 2013,,Khk0Xbc0cU8,Khk0Xbc0cU8,
906000993020,Kansenia Hopital,United States,,Funding,,,,,,,,Geocoding 2013,,k66m7sRmq5g,k66m7sRmq5g,
906000993022,Mukabe ,United States,,Funding,,,,,,,,Geocoding 2013,,TPf7tuulIsj,TPf7tuulIsj,
906000993024,TBD1 - Lubudi,United States,,Funding,,,,,,,,Geocoding 2013,,LHUOwRgNQkr,LHUOwRgNQkr,
906000993026,TBD2 - Lubudi,United States,,Funding,,,,,,,,Geocoding 2013,,gHZ7OExrQ1A,gHZ7OExrQ1A,
906000993028,TBD3 - Lubudi,United States,,Funding,,,,,,,,Geocoding 2013,,MnMX68So59s,MnMX68So59s,
906000993030,Chisambu,United States,,Funding,,,,,,,,Geocoding 2013,,Sf93e7ldA3b,Sf93e7ldA3b,
906000993032,Kongolo M,United States,,Funding,,,,,,,,Geocoding 2013,,LZFJh3OlwrG,LZFJh3OlwrG,
906000993034,TBD1 - Manika,United States,,Funding,,,,,,,,Geocoding 2013,,hnTreNgH5Uq,hnTreNgH5Uq,
906000993036,TBD2 - Manika,United States,,Funding,,,,,,,,Geocoding 2013,,mTKQdb7qJp4,mTKQdb7qJp4,
906000993038,TBD3 - Manika,United States,,Funding,,,,,,,,Geocoding 2013,,GDq8ePsJuxY,GDq8ePsJuxY,
906000993040,Hopital du Personnel de Kolwezi (HPK) - Dilala HGR,United States,,Funding,,,,,,,,Geocoding 2013,,GFiXEwmLieo,GFiXEwmLieo,
906000993042,Kapata ,United States,,Funding,,,,,,,,Geocoding 2013,,d0cWHAjRywv,d0cWHAjRywv,
906000993044,Luilu ,United States,,Funding,,,,,,,,Geocoding 2013,,QpgD5Uj3HjW,QpgD5Uj3HjW,
906000993046,Methodiste - Dilala CH,United States,,Funding,,,,,,,,Geocoding 2013,,nuq8uhRKNFS,nuq8uhRKNFS,
906000993048,Kanzenze HGR,United States,,Funding,,,,,,,,Geocoding 2013,,isAwTDsnPSu,isAwTDsnPSu,
906000993050,Nseke HGR,United States,,Funding,,,,,,,,Geocoding 2013,,kxFSJECuf8H,kxFSJECuf8H,
906000993052,Nzilo ,United States,,Funding,,,,,,,,Geocoding 2013,,lQzVWrJg5L0,lQzVWrJg5L0,
906000993054,TBD1 - Kanzenze ,United States,,Funding,,,,,,,,Geocoding 2013,,tMCm8p143Yx,tMCm8p143Yx,
906000993056,TBD2 - Kanzenze ,United States,,Funding,,,,,,,,Geocoding 2013,,I5y4pJ239nW,I5y4pJ239nW,
906000993058,TBD3 - Kanzenze,United States,,Funding,,,,,,,,Geocoding 2013,,lh37qCucAhX,lh37qCucAhX,
906000993060,TBD4 - Kanzenze,United States,,Funding,,,,,,,,Geocoding 2013,,cBfbLxAKRUl,cBfbLxAKRUl,
906000993062,Tshamundenda1 ,United States,,Funding,,,,,,,,Geocoding 2013,,Nyl2xAuv1uP,Nyl2xAuv1uP,
906000993064,Wakipindji ,United States,,Funding,,,,,,,,Geocoding 2013,,nW8wTIVRZEJ,nW8wTIVRZEJ,
906000993066,Walemba ,United States,,Funding,,,,,,,,Geocoding 2013,,ng3bAARjI18,ng3bAARjI18,
906000993068,Kawama,United States,,Funding,,,,,,,,Geocoding 2013,,n16AMpmaBBt,n16AMpmaBBt,
906000993070,Kawama - Lualaba ,United States,,Funding,,,,,,,,Geocoding 2013,,chillOaHvph,chillOaHvph,
906000993072,Kinsafu ,United States,,Funding,,,,,,,,Geocoding 2013,,ZJlkcX5ekzy,ZJlkcX5ekzy,
906000993074,Mupanja,United States,,Funding,,,,,,,,Geocoding 2013,,uhqieW6ihBm,uhqieW6ihBm,
906000993076,Mupanja ,United States,,Funding,,,,,,,,Geocoding 2013,,TgpzvIaMGjx,TgpzvIaMGjx,
906000993078,Mwanfwe ,United States,,Funding,,,,,,,,Geocoding 2013,,DHdtwc3Iprl,DHdtwc3Iprl,
906000993080,Pwene ,United States,,Funding,,,,,,,,Geocoding 2013,,jREWnvxLOUa,jREWnvxLOUa,
906000993082,Pwibwe ,United States,,Funding,,,,,,,,Geocoding 2013,,IlKdUkwjRKq,IlKdUkwjRKq,
906000993084,Radem - Lualaba ,United States,,Funding,,,,,,,,Geocoding 2013,,AxZCtlC28CW,AxZCtlC28CW,
906000993086,SNCC Mupandja ,United States,,Funding,,,,,,,,Geocoding 2013,,vGNO82RvTwu,vGNO82RvTwu,
906000993088,TBD1 - Lualaba,United States,,Funding,,,,,,,,Geocoding 2013,,m9fUAf2t2ca,m9fUAf2t2ca,
906000993090,TBD2 - Lualaba,United States,,Funding,,,,,,,,Geocoding 2013,,KAjuGGXfc2q,KAjuGGXfc2q,
906000993092,TBD3 - Lualaba,United States,,Funding,,,,,,,,Geocoding 2013,,YTorSE96hbY,YTorSE96hbY,
906000993094,Afia Manika ,United States,,Funding,,,,,,,,Geocoding 2013,,e1SKC7deW5O,e1SKC7deW5O,
906000993096,Betshaida ,United States,,Funding,,,,,,,,Geocoding 2013,,ZrMzWN6H5n6,ZrMzWN6H5n6,
906000993098,Kasulo ,United States,,Funding,,,,,,,,Geocoding 2013,,v1SDeFQa2P6,v1SDeFQa2P6,
906000993100,Manika ,United States,,Funding,,,,,,,,Geocoding 2013,,WenMdOJzwbO,WenMdOJzwbO,
906000993102,Mwangeji HGR,United States,,Funding,,,,,,,,Geocoding 2013,,F2Abc0EFhbF,F2Abc0EFhbF,
906000993104,Kayambe ,United States,,Funding,,,,,,,,Geocoding 2013,,K9CdDv7GBh7,K9CdDv7GBh7,
906000993106,Luilu,United States,,Funding,,,,,,,,Geocoding 2013,,GnnshwHG2Xf,GnnshwHG2Xf,
906000993108,Maisha ,United States,,Funding,,,,,,,,Geocoding 2013,,DXjIcYTi9KU,DXjIcYTi9KU,
