AidData ID,Project Title
906000992780,Dikula 
906000992782,Disanga 3 
906000992784,Kabungu 
906000992786,Chibambo 
906000992788,Kaboka 
906000992790,Kaboka HGR
906000992792,Kikungu 
906000992794,Kisamamba 
906000992796,Mission 
906000992798,St Jean (Kisameno) 
906000992800,Carmel CM
906000992802,Kibali
906000992804,Petwe 
906000992806,Zaina CM
906000992808,Centre De Sante 41
906000992810,Kafubu 
906000992812,Sambwa
906000992814,Betty HGR
906000992816,Bety
906000992818,Gecamines Kipushi
906000992820,Kawama - Kipushi 
906000992822,Lumata 
906000992824,St Charles 
906000992826,Tumbwe 
906000992828,Amani-Likasi 
906000992830,Asvie CM
906000992832,Kupuluka 
906000992834,La Grace - Likasi CM
906000992836,Ovika 
906000992838,Panda GCM
906000992840,SNCC Likasi HGR
906000992842,Shekinah CM
906000992844,Simba 
906000992846,Theresia 
906000992848,Polyclinique Socidex 
906000992850,St Luc - Panda 
906000992852,Kashobwe HGR
906000992854,Lupembe 
906000992856,Dubie
906000992858,Kasolo 
906000992860,Kilwa HGR
906000992862,Kyaka 
906000992864,Lukonzolwa 
906000992866,Lusalala 
906000992868,Lwanza 
906000992870,Mubanga 
906000992872,Mukupa 
906000992874,Mulinde 
906000992876,Boma - Pweto 
906000992878,Chalanshi
906000992880,Chanfubu HGR
906000992882,Kamakanga
906000992884,Kapondo 
906000992886,Kapulo 
906000992888,Katabe 
906000992890,Nzwiba 
906000992892,Sante 
906000992894,TBD1 - Pweto
906000992896,TBD2 - Pweto
906000992898,TBD3 - Pweto
906000992900,TBD4 - Pweto
906000992902,TBD5 - Pweto
906000992904,Amani-Sakania
906000992906,Buafano
906000992908,Buafano 
906000992910,Fma Marie Auxilliatrice 
906000992912,Kasumbalesa
906000992914,Kasumbalesa 
906000992916,Katale
906000992918,Kitotwe
906000992920,Mokambo
906000992922,Mokambo 
906000992924,Muhona
906000992926,Neema - Sakania
906000992928,Rosalie
906000992930,Sakania HGR
906000992932,TBD1 - Sakania
906000992934,TBD2 - Sakania
906000992936,TBD3 - Sakania
906000992938,TBD4 - Sakania
906000992940,Tshisenda
906000992942,Buafano
906000992944,Bihashara
906000992946,Kanina
906000992948,TBD1 - Dilala
906000992950,TBD2 - Dilala
906000992952,TBD3 - Dilala
906000992954,Uzima Wetu - Dilala
906000992956,Bunkeya HGR
906000992958,Gareganze - Bunkenya 
906000992960,Kikobe 
906000992962,Munto 
906000992964,TBD1 - Bunkeya
