project_id,project_location_id,precision_code,geoname_id,place_name,latitude,longitude,location_type_code,location_type_name
P088751,P088751_2317399,1,2317399,Bandjow-Moke,-1.81667,17.46667,PPL,populated place
P088751,P088751_2317285,1,2317285,Basankusu,1.22095,19.80205,PPL,populated place
P088751,P088751_219264,1,219264,Befale,0.39279,20.84113,PPL,populated place
P088751,P088751_2317110,1,2317110,Bikoro,-0.7328,18.13407,PPL,populated place
P088751,P088751_218855,1,218855,Binga,2.37352,20.49768,PPL,populated place
P088751,P088751_2317024,1,2317024,Bobangi,1.27304,19.5339,PPL,populated place
P088751,P088751_2316962,1,2316962,Boende,-0.73333,19.2,PPL,populated place
P088751,P088751_2316831,1,2316831,Bokoro,-2.86384,18.36326,PPL,populated place
P088751,P088751_218479,1,218479,Bokungu,-0.60626,22.31211,PPL,populated place
P088751,P088751_2316812,1,2316812,Bokungu,3.03976,19.66467,PPL,populated place
P088751,P088751_2316770,1,2316770,Bolenge,0,18.21667,PPL,populated place
P088751,P088751_2316748,1,2316748,Bolobo,-2.158,16.23249,PPL,populated place
P088751,P088751_2316739,1,2316739,Bolomba,0.35133,19.22897,PPL,populated place
P088751,P088751_2316637,1,2316637,Bomongo,1.37987,18.35054,PPL,populated place
P088751,P088751_218229,1,218229,Bongandanga,1.50695,21.0726,PPL,populated place
P088751,P088751_218111,1,218111,Bosanga,2.39987,22.77115,PPL,populated place
P088751,P088751_2316476,1,2316476,Bosobe,-1.18333,18.21667,PPL,populated place
P088751,P088751_218048,1,218048,Bosondjo,1.86667,21.76667,PPL,populated place
P088751,P088751_217745,1,217745,Bumba,2.18771,22.46827,PPL,populated place
P088751,P088751_923218,1,923218,Dilolo,-10.46971,22.45284,PPL,populated place
P088751,P088751_217135,1,217135,Djolu,0.61667,22.35,PPL,populated place
P088751,P088751_217130,1,217130,Djombo,0.3949,21.14151,PPL,populated place
P088751,P088751_2315589,1,2315589,Iboko-Bolombi,-1.11667,18.56667,PPL,populated place
P088751,P088751_216031,1,216031,Ikela,-1.04964,23.36682,PPL,populated place
P088751,P088751_2315437,1,2315437,Ingende,-0.31032,18.96901,PPL,populated place
P088751,P088751_2315417,1,2315417,Inongo,-1.9275,18.2881,PPL,populated place
P088751,P088751_2315389,1,2315389,Irebu,-0.60992,17.75614,PPL,populated place
P088751,P088751_215646,1,215646,Kabambare,-4.68956,27.69146,PPL,populated place
P088751,P088751_215329,1,215329,Kafakumba,-9.67651,23.75888,PPL,populated place
P088751,P088751_923130,1,923130,Kafubu,-11.75,27.56667,PPL,populated place
P088751,P088751_215042,1,215042,Kalamba,-5.89915,24.93483,PPL,populated place
P088751,P088751_214260,1,214260,Kapanga,-3.39439,28.62035,PPL,populated place
P088751,P088751_922979,1,922979,Kasaji,-10.3807,23.45147,PPL,populated place
P088751,P088751_922965,1,922965,Kasenga,-10.62917,26.7575,PPL,populated place
P088751,P088751_922951,1,922951,Kasongo,-11.45,27.91667,PPL,populated place
P088751,P088751_2314869,1,2314869,Kibanseke I,-4.4325,15.38194,PPL,populated place
P088751,P088751_2314841,1,2314841,Kibombo,-5.72542,15.07303,PPL,populated place
P088751,P088751_2314769,1,2314769,Kikimi,-4.84139,15.78333,PPL,populated place
P088751,P088751_212987,1,212987,Kilwa,-9.28528,28.33288,PPL,populated place
P088751,P088751_2593463,1,2593463,Kimbanseke II,-4.42111,15.36583,PPL,populated place
P088751,P088751_922806,1,922806,Kipushi,-11.76667,27.23333,PPL,populated place
P088751,P088751_2314195,1,2314195,Kiri,-1.45,19,PPL,populated place
P088751,P088751_922795,1,922795,Kisenge,-10.69574,23.17915,PPL,populated place
P088751,P088751_2313864,1,2313864,Kwamouth,-3.18268,16.20003,PPL,populated place
P088751,P088751_2313712,1,2313712,Lilanga,0.28388,17.89636,PPL,populated place
P088751,P088751_211760,1,211760,Lingomo,-2,22.6,PPL,populated place
